"feature_id","canonical_name","aliases","feature_family","plain_language_meaning","formula_or_algorithm","units","data_type","valid_domain","frequency","timestamp_convention","observation_key","raw_source_fields","preprocessing","window_and_warmup","lag_and_availability","missing_and_zero_behavior","normalization","sign_interpretation","producing_paths","hypothesis_ids","test_ids","leakage_or_survivorship_risk","verification_status"
"F-cks-l1-ofi","CKS level-one order-flow imbalance","cks_l1_ofi|event","order_flow","Signed level-one displayed flow between consecutive book states.","e=1{Pb_new>=Pb_old}qb_new-1{Pb_new<=Pb_old}qb_old-1{Pa_new<=Pa_old}qa_new+1{Pa_new>=Pa_old}qa_old; sum over (t-w,t].","contracts","float","unbounded real when valid","instrument|connection_epoch|anchor|window","Receive-time; exact past-only window.","L1 bid/ask prices and quantities","consecutive L1 bid/ask prices and quantities; epoch; quality flags","Reject cross-epoch; crossed; invalid-quality; nonmonotone; or wrong-channel transitions.","Windows 0.5;1;2;5;10s; complete history required through longest configured window.","Available at window end; target begins after declared causal gap.","Invalid transitions are excluded; incomplete windows are refused rather than zeroed.","optional depth scaling is separate feature","Positive is bid strengthening or ask depletion.","research/src/shaurya/signals/cks_l1_ofi.py","H-order-flow-001","T-cks-l1-ofi|T-ofi-replication","Rank/quote updates are aggregate displayed changes; removals are not identified cancellations.","Verified from code"
"F-cks-l1-depth-normalized-pressure","Depth-normalized L1 pressure","pressure_w*|depth_normalised_cks","order_flow","CKS L1 OFI scaled by causal mean top depth.","pressure=sum(CKS events in window)/mean(half_total_depth in same past-only window); denominator floor is 1 contract.","dimensionless pressure","float","unbounded real","instrument|connection_epoch|anchor|window","Receive-time; past-only window.","CKS events; L1 bid/ask quantities","CKS event increments; causal half-total L1 depth","Same transition exclusions as F-cks-l1-ofi.","0.5;1;2;5;10s with complete history.","Available at anchor.","Incomplete/invalid windows absent; denominator below 1 is floored and metadata records it.","divide by causal mean half-depth","Sign follows CKS L1 OFI.","research/src/shaurya/signals/cks_l1_ofi.py","H-order-flow-001|H-order-flow-002","T-cks-l1-ofi|T-ofi-horserace","Small depth can amplify noise even with the declared floor.","Verified from code"
"F-ccz-level-ofi","CCZ per-level order flow","ccz_level_flow|ofi_level_*","order_flow","Signed displayed flow at each rank-keyed depth level.","Bid flow is q_new if price improves; q_new-q_old if unchanged; -q_new if worsens. Ask mirror is -q_new on retreat; q_new-q_old unchanged; +q_new on improvement. Level OFI=bid_flow-ask_flow.","contracts","float","unbounded real per level","instrument|connection_epoch|transition|level","Receive-time.","ranked bid/ask prices and quantities","consecutive ranked bid/ask prices and quantities","Compare the same rank across endpoints; absent coverage contributes zero and is counted.","Transition feature; window aggregation is separate.","Available on receipt of current state.","Invalid transitions return an explicit reason; uncovered levels are zero with coverage count.","none","Positive is buy pressure.","research/src/shaurya/signals/ccz_ofi.py","H-order-flow-001","T-ccz-ofi|T-ofi-horserace|T-surface-futures-predictive","Rank-keying can conflate ladder shifts with price-level events; use price-keyed deep-book features for anomaly identity.","Verified from code"
"F-ccz-integrated-ofi","Integrated multi-level CCZ OFI","ccz_integrated|ofi.cumulative.depth=*","order_flow","One scalar combining normalized per-level OFI across a window.","Sum per-level OFI over (t-w,t]; divide all levels by one common average depth denominator; optionally apply training-only first-PC weights normalized to L1 norm and sign-fixed.","dimensionless or normalized contracts","float","unbounded real","instrument|anchor|window|level_count","Receive-time; past-only aggregation.","F-ccz-level-ofi; per-level depth","per-level CCZ OFI; per-level depth; training matrix when weighted","Reject invalid spans; fit weights on training rows only; record denominator floor and explained variance.","Declared windows and level counts; training rows required for integrated weights.","Feature available at anchor; fitted weights must precede test rows.","Unsupported level counts refused; insufficient support absent; no silent approximation.","common depth scaling and optional L1-normalized weights","Positive is integrated buy pressure after documented sign fix.","research/src/shaurya/signals/ccz_ofi.py|research/src/shaurya/signals/ofi_horserace.py","H-order-flow-001|H-order-flow-002|H-surface-alpha-001|H-feature-selection-001","T-ccz-ofi|T-ofi-horserace|T-surface-futures-predictive|T-feature-selection","Fitting weights outside the training boundary leaks future covariance structure.","Verified from code"
"F-mid-return-lag","Past displayed-mid return lag bank","mid_return_lag_*|price_lag_*","order_flow","Past midpoint changes over declared lags used as autoregressive controls.","Usually (mid_t-mid_{t-lag})/0.05 ticks or registry-specific return form; exact producer records the convention.","ticks or return","float","unbounded real","instrument|anchor|lag","Receive-time; same connection epoch.","displayed mid path","displayed-mid path; receive_ts_ns; epoch","Last-at-or-before endpoint resolution; reject cross-epoch/missing endpoints.","Lags 0.5;1;2;5;10;20;30s where declared.","Available at anchor because both endpoints are in the past.","Missing if either endpoint is unavailable.","optional division by tick size","Positive means the mid rose over the lag.","research/src/shaurya/signals/mid_lag_ofi.py|research/src/shaurya/signals/feature_selection.py","H-order-flow-002","T-mid-lag-ofi|T-feature-selection","Endpoint interpolation or epoch crossing can create false continuity.","Verified from code"
"F-future-mid-return","Future displayed-mid response","future_mid_return|target_ticks|markout","target","Future midpoint displacement after a causal gap and horizon.","Producer-specific: (mid_{t+gap+h}-mid_{t+gap})/0.05 ticks or registered return equivalent; both endpoints use causal as-of rules.","ticks or return","float","unbounded real","instrument|anchor|gap|horizon","Receive-time; label available only at interval end.","displayed mid path","displayed-mid path; anchor; causal gap; horizon; epoch","Require same epoch; usable BBO; right-edge coverage; declared gap/horizon.","No feature warm-up; outcome support through gap+horizon required.","Not available to models until label endpoint; never part of feature observations.","Missing if either endpoint or full coverage is absent.","optional tick/return scaling","Positive means future mid rises.","research/src/shaurya/research/targets.py|research/src/shaurya/signals/deep_book_response.py|research/src/shaurya/signals/ofi_horserace.py","H-order-flow-002|H-order-flow-003|H-surface-alpha-001","T-ofi-horserace|T-deep-book-response|T-surface-futures-predictive|T-research-walkforward-and-synthetic","Joining this target before the outcome endpoint is direct look-ahead.","Verified from code"
"F-ofi-response-surface","Rolling OFI response surface","c8_response_surface|rolling_c8","order_flow","Grid of genuine OOS R2 across training windows; forecast horizons; and OFI sampling horizons.","Fit each declared cell using only matured labels in trailing training window; score issued forecasts against that window's training-mean baseline; aggregate cumulative or rolling R2.","R2","float","less than or equal to 1; can be negative","cell|forecast anchor","Receive-time; forecast issued before outcome.","OFI features; future-mid targets","causal OFI observations; matured future-mid targets; training window identity","No historical backfill for fresh tracker; causal training positions; pending outcomes retained.","Six beta windows x seven response horizons x five OFI sampling horizons in D49.","Forecast available at anchor; score only after maturity.","Cells with insufficient training or pending labels remain explicit.","R2 versus rolling training mean","Positive beats baseline; negative underperforms.","research/src/shaurya/analytics/ofi_response_surface.py|research/src/shaurya/analytics/rolling_c8.py","H-order-flow-003","T-ofi-response-surface|T-rolling-c8|T-ofi-dashboard","Overlapping outcomes reduce effective sample size; smoothness is not predictive support.","Verified from code"
"F-nonlinear-ofi-geometry","Nonlinear OFI state geometry","surface_height|gate_probability|kalman_prediction","order_flow","Nonlinear transformations and dynamic-state predictions built from the OFI response surface.","Prepare causal panel; compute bounded geometry; fit training/validation ridge; spline/logistic gate; and Kalman paths. Exact basis and penalties are recorded in the artifact.","ticks; probability; R2 diagnostics","float","gate probability 0 to 1; other fields model-specific","anchor|horizon|model","Receive-time; split-specific.","OFI response surface and causal state variables","OFI response-surface panel; timestamps; horizons; model state","Chronological train/validation/test split; avoid in-place tensor reuse; enforce bounded geometry.","Requires fitted model history and declared cadence observations.","Only training-fitted transformations apply to later rows.","Missing for unsupported geometry; constant-shrinkage controls remain explicit.","training-only model scaling","Higher gate probability predicts positive-surface eligibility; model response sign follows prediction.","research/src/shaurya/signals/nonlinear_ofi_state.py","H-order-flow-003","T-nonlinear-ofi-state","Flexible nonlinear selection on one session is overfit-prone; prior corrupted artifacts are audit-only.","Verified from code|Verified from existing documentation"
"F-deep-book-atomic-event","Price-keyed deep-book atomic event","addition|removal|quantity_increase|quantity_decrease|order_count_increase|order_count_decrease|relocation_proxy","deep_book","A displayed price-level change classified without rank-cascade duplication.","Map each side as price -> (quantity; order count); compare endpoints; classify additions/removals and retained-price deltas; pair removal/addition as relocation proxy when relative quantity difference <=25 percent.","event with nonnegative magnitude","categorical plus float","registered eight event types; magnitude greater than or equal to zero","instrument|connection_epoch|receive burst|side|price","Receive-time; pre-event distance reference.","depth200 prices; quantities; order counts; quality flags","depth200 price; quantity; order count; side; quality flags; epoch","Collapse exact-timestamp publications; reject invalid transitions; suppress boundary churn; no outcome fields.","Consecutive valid states; past-session baseline requires 200 events per stratum for anomaly scoring.","Available after the event publication.","Invalid transitions and churn are exclusion records; insufficient baseline is explicit.","optional past-only empirical quantile scoring","Event type/side carry meaning; no price-response direction is assigned.","research/src/shaurya/signals/deep_book_anomaly.py","H-deep-book-001|H-deep-book-002","T-deep-book-anomaly|T-sig21-construction-replay|T-sig21-exploratory-response","Relocation is a displayed-liquidity proxy; no anonymous order identity exists.","Verified from code"
"F-deep-book-edge-distance","Distance from same-side book edge","edge_distance|distance_band","deep_book","Rupee distance of a deep price from the pre-event same-side best or outer occupied edge.","Bid distance=best_bid-price; ask distance=price-best_ask; construction grids also measure from the outermost occupied price. Bands are code-declared.","rupees","float","greater than or equal to zero","event|side|pre-event state","Receive-time; pre-event reference.","event price; same-side best; outer occupied price","event price; pre-event same-side best; outer occupied price","Use pre-event state; fixed >20 rupee far boundary; exclude invalid books.","As-of pre-event state.","Available at event time.","Missing for absent valid same-side reference.","none","Larger means farther from the touch/edge.","research/src/shaurya/signals/deep_book_anomaly.py|research/src/shaurya/signals/deep_book_construction_grid.py","H-data-quality-002|H-deep-book-001|H-deep-book-002","T-deep-book-anomaly|T-sig21-construction-replay|T-sig21-exploratory-response","Using post-event best would leak reaction and reclassify distance.","Verified from code"
"F-deep-book-response","Deep-book event future response","depth20_response|event_minus_control","deep_book","Depth20 midpoint movement after a registered gap/horizon and its matched-quiet-control contrast.","Build F-future-mid-return for gaps 0.5/1s and horizons 1/5/10s; cluster nonoverlapping event episodes; subtract matched quiet response in same causal stratum.","futures ticks","float","unbounded real","registered cell|episode","Receive-time; outcome available at end.","depth20 midpoint path; event; pre-event covariates","depth20 midpoint path; deep event; pre-event covariates; regime","Same epoch; full right-edge coverage; nonoverlap; outcome-blind control matching.","Cell-specific gap+horizon episode window; family-max arm retained as robustness.","Unavailable until outcome end.","Failures and unmatched controls remain explicit; no truncation at tape edge.","event-minus-control difference","Positive means upward event-relative response.","research/src/shaurya/signals/deep_book_response.py|research/src/shaurya/signals/deep_book_exploratory_response.py","H-deep-book-002","T-deep-book-response|T-sig21-exploratory-response","Outcome inspection on preregistration tapes permanently contaminates confirmatory use.","Verified from code|Verified from existing documentation"
"F-surface-essvi-parameters","eSSVI surface parameters","theta|rho|psi","options_surface","Per-expiry total-variance surface level; skew; and curvature parameters.","Calibrate eSSVI slice total variance w(k)=0.5*theta*(1+rho*psi*k+sqrt((psi*k+rho)^2+1-rho^2)) from causal option IV observations.","total variance and dimensionless parameters","float","model constraints enforced by calibrator","expiry|surface frame timestamp","Receive-time frame; expiry time uses dated IST close.","option bid/ask; strike; expiry; forward; discount assumptions","option bid/ask; strike; expiry; forward; discount/maturity; receive time","Latest causal rows; implied-volatility inversion; support and arbitrage checks.","Needs sufficient strikes per expiry; optional temporal smoother needs prior fits.","Available at fit decision timestamp from rows no later than that time.","Unsupported/failed slices are null with diagnostics; never silently filled.","calibration-space constraints; optional temporal smoothing","Parameter sign is model-specific; rho relates skew.","research/src/shaurya/surfaces/essvi.py|research/src/shaurya/analytics/surface_feed.py","H-options-surface-001|H-surface-alpha-001","T-essvi-surface|T-anl03-dashboard|T-surface-futures-predictive","Forward-source errors and stale quotes contaminate all fitted parameters.","Verified from code"
"F-surface-atm-shape","eSSVI ATM level/skew/curvature","atm_iv|atm_skew|atm_curvature","options_surface","Analytic surface shape at zero log-moneyness.","Evaluate implied volatility and first/second log-moneyness derivatives at k=0 from the fitted eSSVI slice; tests compare analytic results to central differences.","volatility; volatility per log-moneyness","float","ATM IV nonnegative; derivative ranges model-dependent","expiry|surface frame timestamp","Surface frame receive/decision time.","F-surface-essvi-parameters; maturity","eSSVI theta/rho/psi; maturity","Reject invalid parameters and maturity.","Surface warm-up only.","Available with fitted frame.","Missing when slice unsupported.","analytic derivative from total variance to IV","Skew sign indicates IV slope; curvature sign indicates local convexity.","research/src/shaurya/signals/surface_futures_predictive.py","H-options-surface-001|H-surface-alpha-001","T-surface-futures-predictive|T-anl03-dashboard","Numerical interpretation depends on maturity and parameterization.","Verified from code"
"F-surface-innovation","Past-state surface innovation","surface_innovation|front_skew_ew_innovation","options_surface","Unexpected change in a surface field relative to a past-only exponentially weighted state.","Innovation=current causal surface value minus its past-state EW estimate; exact field registry and decay are producer-defined.","same units as source surface field","float","unbounded real","expiry|frame timestamp|field","Receive-time frame.","surface levels/shape and prior EW state","causal surface field; prior exponentially weighted state","Past-only state update; no future frames.","Warm-up requires prior usable frames.","Available at current frame after comparing with prior state.","Missing for insufficient history or unusable frame.","EW demeaning","Positive means above past-state expectation.","research/src/shaurya/signals/feature_selection.py","H-surface-alpha-001|H-feature-selection-001","T-feature-selection|T-feature-selection-walkforward","Updating the EW state with future/test frames before transformation leaks information.","Verified from code"
"F-surface-quality","Surface quality diagnostics","support_width|fit_status|staleness|arbitrage_diagnostics","options_surface","Support; age; smoothing; and arbitrage state accompanying each fitted frame.","Carry observed strike/moneyness support; fit diagnostics; frame age; staleness flags; and butterfly/calendar checks; do not fabricate unsupported cells.","mixed diagnostic units","structured categorical and float","field-specific","expiry|surface frame timestamp","Receive-time and fit-decision time.","option coverage; calibration residuals; source age; parameters","option support; calibration residuals; source/fit timestamps; eSSVI parameters","Caller-declared thresholds; causal frame matching.","Fit-specific.","Available with frame.","Failures remain explicit; missing economic state may coexist with quality records.","none","More age/violations are adverse; wider support is generally better.","research/src/shaurya/surfaces/arbitrage.py|research/src/shaurya/research_contracts/surface.py|research/src/shaurya/signals/feature_selection.py","H-options-surface-001|H-options-surface-002|H-surface-alpha-001","T-surface-arbitrage|T-surface-interface|T-remaining-contracts|T-feature-selection","Treating diagnostics as economic alpha or forward-filling failed fits creates bias.","Verified from code"
"F-surface-iv-residual","Option IV residual from surface","iv_residual|mispricing_gap","options_surface","Observed option IV minus smoothed eSSVI fair IV with uncertainty scaling.","Invert Black-76 price to observed IV; residual=observed_iv-surface_iv; compare against continuously estimated past residual uncertainty and current/raw-smoothed agreement gates.","volatility points or standardized residual","float","unbounded real","option instrument|fit timestamp","Receive-time; causal fit sequence.","option quote; forward; strike; maturity; eSSVI fit","option price/quote; forward; strike; maturity; causal eSSVI fit; residual history","Warm-up smoother; exclude current residual from its own uncertainty training; censor missing quotes/reference closure.","Default six-fit smoother warm-up plus residual-history requirement.","Available only after current quote and causal fit.","Missing/censored episodes are not called corrected.","divide by causal uncertainty for actionable threshold","Positive is rich IV; negative cheap IV.","research/src/shaurya/analytics/mispricing.py","H-options-surface-002","T-surface-mispricing","Selection of only completed episodes creates survivorship bias; detector retains invalidated/censored episodes.","Verified from code"
"F-futures-trade-intensity-10s","Futures cumulative-volume-increment intensity","futures_log_trade_intensity_10s|trade_intensity","post_close_alpha","Nonnegative quote-tape proxy for recent futures executed-volume changes.","intensity=sum(max(0,cumulative_volume_increment)) over trailing 10s; model feature=log1p(intensity).","log contracts","float","greater than or equal to zero","futures instrument|5s grid timestamp","Receive-time; past 10s.","cumulative_volume_increment","cumulative_volume_increment; receive_ts_ns; connection_epoch","Keep same epoch; clamp negative increments to zero; buffer quality intervals.","10s trailing window.","Available at grid timestamp.","No increments produce zero; source field may coalesce multiple trades.","log1p","Higher means more recent volume-change activity.","research/src/shaurya/analytics/post_close_alpha_research.py","H-feature-selection-002","T-post-close-alpha-research","It is not transaction MBO and coalescing obscures individual prints.","Verified from code|Verified from existing documentation"
"F-realized-volatility-30s","Futures realized volatility","futures_realized_volatility_30s|futures_rv","post_close_alpha","Root sum of squared log midpoint changes over the trailing 30 seconds.","sqrt(sum(diff(log(mid_history))^2)) using causal futures mids at or before grid time.","log-return volatility","float","greater than or equal to zero","futures instrument|5s grid timestamp","Receive-time; trailing window.","futures displayed mid history","causal futures displayed-mid history; receive_ts_ns; epoch","Same epoch; positive mids; at least 10 history points; quality-window buffers.","30s; minimum 10 mids.","Available at grid timestamp.","Snapshot omitted when history insufficient or invalid.","root-sum-square","Higher means more recent realized movement.","research/src/shaurya/analytics/post_close_alpha_research.py","H-feature-selection-002","T-post-close-alpha-research","Irregular midpoint-update cadence makes this event-sampled rather than fixed-return realized variance.","Verified from code"
"F-option-markout-half-spread","Option signed half-spread markout","markout_5s|markout_30s","post_close_alpha","Future option-mid displacement scaled by current half-spread.","(option_mid_{t+h}-option_mid_t)/max(option_spread_t/2;0.025) for h in {5;30}s.","current half-spreads","float","unbounded real","option instrument|5s grid timestamp|horizon","Receive-time; same connection epoch.","current/future option mid; current spread","current/future option mid; current option spread; epoch","Exact grid endpoint; full horizon support; clean quality window.","5s or 30s outcome.","Available only at t+h.","Missing if future state/epoch is unavailable.","divide by floored half-spread","Positive means option mid rose.","research/src/shaurya/analytics/post_close_alpha_research.py","H-feature-selection-002","T-post-close-alpha-research","This is a markout proxy; it assumes neither fill nor executable price.","Verified from code"
