"hypothesis_id","family_id","title","research_question","null_hypothesis","alternative_hypothesis","expected_direction","feature_ids","test_ids","implementation_status","evidence_status","input_data","output_locations","source_paths","unresolved_questions","statement_basis"
"H-options-surface-001","HF-options-surface","Causal arbitrage-diagnosed eSSVI surface","Can option chains be converted into causal eSSVI frames with forward-source; staleness; smoothing; and arbitrage diagnostics?","Surface construction cannot meet readiness; causal timing; or arbitrage diagnostic contracts.","Supported slices fit and expose diagnostics while unsupported cells remain null and invalid uses fail closed.","No alpha direction; butterfly and calendar violations are adverse diagnostics.","F-surface-essvi-parameters|F-surface-atm-shape|F-surface-quality","T-essvi-surface|T-surface-interface|T-surface-arbitrage|T-anl03-dashboard|T-remaining-contracts","implemented","result located but not validated","Option quotes; expiries; strikes; forwards from traded futures or parity","research/docs/live-evidence/ANL-03-2026-08-19.md|research/docs/live-evidence/ANL-07-AMENDMENT-5-2026-08-21.md","research/src/shaurya/surfaces/essvi.py|research/src/shaurya/surfaces/arbitrage.py|research/src/shaurya/analytics/surface_feed.py","Cross-session fit stability and live source completeness are not established by unit tests.","Verified from code|Verified from existing documentation"
"H-options-surface-002","HF-options-surface","Read-only IV-residual convergence episodes","Do sufficiently large smoothed IV residual dislocations converge without being explained by reference-market movement?","Qualified target residual gaps do not converge under the declared censoring and agreement gates.","Qualified episodes show target-led IV residual convergence more often or faster than the null benchmark.","Cheap options are expected to rise relative to fair value and rich options to fall; code records direction.","F-surface-iv-residual|F-surface-quality|F-effective-touch-mid","T-surface-mispricing|T-anl03-dashboard","implemented","no result located","Causal option quotes; eSSVI fair IV; forward; uncertainty history","not_generated:no_persisted_empirical_episode_result_located","research/src/shaurya/analytics/mispricing.py|research/tests/test_surface_mispricing.py","No persisted empirical episode table or validated conclusion was located.","Verified from code"
"H-surface-alpha-001","HF-surface-alpha","Surface state incremental futures predictiveness","Does causal option-surface state improve five-second NIFTY-futures forecasts beyond LOB and OFI features?","Surface features do not improve held-out futures forecasts beyond LOB plus OFI.","Surface levels; changes; term structure; or innovations provide positive incremental held-out performance.","No coefficient sign is globally prespecified; lag placebo should not improve performance.","F-surface-essvi-parameters|F-surface-atm-shape|F-surface-innovation|F-surface-quality|F-ccz-integrated-ofi|F-future-mid-return","T-surface-futures-predictive|T-surface-ofi-reconciliation","implemented","rejects hypothesis","Causal surface frames; Full futures book; CCZ OFI; five-second future mid response","research/docs/results/SURFACE-FUTURES-PREDICTIVE-SUMMARY-2026-08-19.json|research/docs/results/SURFACE-FUTURES-PREDICTIVE-MODELS-2026-08-19.md","research/src/shaurya/signals/surface_futures_predictive.py|research/src/shaurya/signals/surface_ofi_reconciliation.py","Evidence is exploratory and source-specific; rejection is limited to the tested sample/design.","Verified from code|Verified from existing documentation"
"H-feature-selection-001","HF-feature-selection","Quality-gated stable feature usefulness","Do registered microstructure features survive causal quality; redundancy; conditional-usefulness; and multi-session stability gates while improving OOS forecasts?","No feature cluster produces stable positive conditional OOS usefulness across eligible sessions and regimes.","At least one complete cluster/model identity clears quality; stability; mirror; and economic guards.","Positive delta OOS R2 is favorable; promotion requires all declared guards.","F-feature-correlation-cluster|F-feature-conditional-oos-delta|F-source-keyed-ar1-control|F-time-regime|F-surface-innovation|F-ccz-integrated-ofi","T-feature-selection|T-feature-correlation-reduction|T-feature-conditional-usefulness|T-feature-predictive-models|T-feature-stability-selection|T-feature-selection-walkforward|T-feature-selection-experiment-cli|T-compute-feature-correlations|T-validated-ridge-analysis|T-evaluation-metrics","implemented","inconclusive","Registered feature rows; ten-second future-mid target; causal surface and futures state","research/docs/results/D51-EXPLORATORY-RESULT-2026-08-21.md|research/docs/results/D51-EXPLORATORY-SUMMARY-2026-08-21.json","research/src/shaurya/signals/feature_selection.py|research/src/shaurya/signals/feature_selection_walkforward.py","Only one distinct session is present; required mirror and economic guards were not supplied.","Verified from code|Verified from existing documentation"
"H-feature-selection-002","HF-feature-selection","Futures microstructure increment for option markouts","Does aggregate futures microstructure add information to option-state controls for five- and thirty-second option-mid markouts?","Augmented models do not improve held-out squared error over option-state controls.","Futures features produce a positive and statistically distinguishable delta OOS R2.","Signed direction is not prespecified; absolute-movement proxies are nonnegative.","F-futures-trade-intensity-10s|F-realized-volatility-30s|F-option-markout-half-spread|F-option-adverse-proxy|F-simple-microprice|F-queue-imbalance","T-post-close-alpha-research","implemented","mixed","Completed one-session futures plus option chain standard-feed tape","research/docs/results/POST-CLOSE-ALPHA-2026-08-26.md","research/src/shaurya/analytics/post_close_alpha_research.py","One session; aggregate snapshots; no fills; costs; capacity; source packet sequence; or cross-session replication.","Verified from code|Verified from existing documentation"
"H-infrastructure-001","HF-infrastructure","Versioned research contracts and runnable boundaries","Do packaging; CLI; schemas; dashboards; and golden fixtures preserve versioned read-only research interfaces?","Research interfaces accept incompatible schemas or cross forbidden package and write boundaries.","Versioned contracts round-trip; unsupported versions fail; research depends only on public data interfaces; read-only endpoints reject writes.","No economic direction.","F-source-completion-state|F-feature-availability-time","T-conftest|T-fixture-contracts-finding-v1|T-fixture-contracts-surface-v1|T-release-metadata|T-remaining-contracts|T-architecture-boundary|T-anl03-dashboard|T-research-research-cli","implemented","unable to determine","Project metadata; JSON fixtures; contract objects; CLI arguments","none","research/pyproject.toml|research/src/shaurya/research_contracts/findings.py|research/src/shaurya/research_contracts/surface.py","Operational compatibility beyond tested versions is unknown.","Verified from code"
"H-high-frequency-001","HF-high-frequency","Parity pressure predicts futures convergence at 10 seconds","Parity pressure predicts futures convergence at 10 seconds under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-parity-pressure-v1|F-hf-gate-parity-highvol-tightspread-v1|F-hf-interaction-parity-l1-quantity-agree-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-002","HF-high-frequency","Futures L1 quantity imbalance predicts one-second midpoint movement","Futures L1 quantity imbalance predicts one-second midpoint movement under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-futures-quantity-imbalance-cum1-v1|F-hf-gate-l1-quantity-lowvol-middepth-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-003","HF-high-frequency","Five-level order-count imbalance predicts ten-second midpoint movement conditionally","Five-level order-count imbalance predicts ten-second midpoint movement conditionally under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-futures-order-count-imbalance-cum5-v1|F-hf-gate-order-count-large-midday-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-004","HF-high-frequency","Large five-second move reverses over the next five seconds under medium parity dispersion","Large five-second move reverses over the next five seconds under medium parity dispersion under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-futures-mid-reversal-pressure-5s-v1|F-hf-gate-reversal-large-move-mid-parity-dispersion-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-005","HF-high-frequency","Leave-ATM-out call-put residual difference predicts actual-futures-hedged option convergence","Leave-ATM-out call-put residual difference predicts actual-futures-hedged option convergence under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-option-call-put-surface-residual-diff-v2|F-hf-gate-surface-diff-large-noisy-parity-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-006","HF-high-frequency","Five-second ATM IV shock mean-reverts over ten seconds in medium IV vol-of-vol","Five-second ATM IV shock mean-reverts over ten seconds in medium IV vol-of-vol under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-option-atm-iv-shock-5s-bp-v1|F-hf-gate-atm-iv-reversal-mid-vov-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-007","HF-high-frequency","Displayed depth and short volatility explain ten-second futures range","Displayed depth and short volatility explain ten-second futures range under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-liquidity-log-l1-depth-v1|F-hf-risk-midpoint-vol-10s-v2|F-hf-liquidity-spread-ticks-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
"H-high-frequency-008","HF-high-frequency","Fast half-second CCZ OFI transportability diagnostic","Fast half-second CCZ OFI transportability diagnostic under the frozen causal construction?","The registered predictor has no stable held-out association with the registered target after declared controls and costs.","The registered predictor has a stable held-out association in the mechanism-consistent direction under the declared controls.","Mechanism-specific; parity/L1 are sign-aligned, midpoint and IV shocks are sign-reversed, range hypotheses concern magnitude.","F-hf-futures-ccz-ofi-0p5s-m1-average-v1|F-hf-gate-fast-ofi-lowvol-trending-v1","T-high-frequency-features|T-high-frequency-registries","implemented","result located but not validated","Canonical complete Shaurya futures and option-chain snapshots with one-second policy anchors","not_generated:fresh_v2_walk_forward_and_shadow_validation_required","data/src/shaurya/data/high_frequency.py|research/registries/alpha_hypotheses_v2.yaml","Three sessions freeze construction and shadow candidacy only; regime breadth, costs, fills, and promotion remain unresolved.","Verified from code|Verified from existing documentation"
